Connections ID, Vehicle ID, Time Stamp, Current Open Connections
1,3856,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
7,3767,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,3840
,,7.4,3840
,,8.4,3840
,,9.4,3840
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,3808
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,3848
,,33.4,
,,34.4,
9,3834,1.4,
,,2.4,3792
,,3.4,3792
,,4.4,3860
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
11,3798,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
13,3826,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
15,3794,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
16,3776,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
17,3853,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
18,3796,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
19,3763,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
20,3759,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
21,3844,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
22,3830,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
23,3761,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
24,3820,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
25,3789,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
26,3859,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,3858
,,20.4,3858
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
27,3841,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
28,3838,1.4,
,,2.4,
,,3.4,
,,4.4,3762
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,3836
,,15.4,3836
,,16.4,3834
,,17.4,3834
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,3784
,,24.4,
,,25.4,
,,26.4,
,,27.4,3815
,,28.4,3815
,,29.4,3815
,,30.4,3815
,,31.4,
,,32.4,3843
,,33.4,3843
,,34.4,3843
29,3860,1.4,
,,2.4,
,,3.4,3852
,,4.4,3852
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
30,3774,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
31,3770,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
32,3775,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
33,3804,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,3857
34,3805,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
35,3813,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
36,3803,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
37,3801,1.4,
,,2.4,3826
,,3.4,3826
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
38,3848,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
39,3782,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,3826
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
40,3817,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
41,3850,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
42,3762,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
43,3769,1.4,
,,2.4,
,,3.4,
,,4.4,3848
,,5.4,3848
,,6.4,3848
,,7.4,3848
,,8.4,3848
,,9.4,3848
,,10.4,3848
,,11.4,3848
,,12.4,3848
,,13.4,3848
,,14.4,3848
,,15.4,3848
,,16.4,3848
,,17.4,3848
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,3848
,,28.4,3848
,,29.4,3848
,,30.4,3848
,,31.4,
,,32.4,
,,33.4,
,,34.4,
44,3797,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
45,3809,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
,,14.4,
,,15.4,
,,16.4,
,,17.4,
,,18.4,
,,19.4,
,,20.4,
,,21.4,
,,22.4,
,,23.4,
,,24.4,
,,25.4,
,,26.4,
,,27.4,
,,28.4,
,,29.4,
,,30.4,
,,31.4,
,,32.4,
,,33.4,
,,34.4,
46,3852,1.4,
,,2.4,
,,3.4,
,,4.4,
,,5.4,
,,6.4,
,,7.4,
,,8.4,
,,9.4,
,,10.4,
,,11.4,
,,12.4,
,,13.4,
